,aatrox,ahri,akali,alistar,amumu,anivia,annie,ashe,aurelionsol,azir,bard,blitzcrank,brand,braum,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,drmundo,draven,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,hecarim,heimerdinger,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,leblanc,leesin,leona,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,masteryi,missfortune,monkeyking,mordekaiser,morgana,nami,nasus,nautilus,neeko,nidalee,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,quinn,rakan,rammus,reksai,renekton,rengar,riven,rumble,ryze,sejuani,shaco,shen,shyvana,singed,sion,sivir,skarner,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vi,viktor,vladimir,volibear,warwick,xayah,xerath,xinzhao,yasuo,yorick,zac,zed,ziggs,zilean,zoe,zyra
aatrox,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
ahri,0,680,0,64,0,0,38,66,0,1,18,10,0,45,47,23,4,1,61,1,1,8,5,6,73,6,54,1,22,7,14,9,0,48,86,129,22,0,3,26,7,65,56,5,5,30,21,0,72,56,0,3,0,4,0,20,60,6,8,19,0,98,21,17,91,76,0,16,25,95,1,9,0,0,34,34,0,64,0,24,2,11,10,0,0,6,32,0,4,2,5,85,38,43,1,46,11,9,0,62,2,0,15,70,0,6,5,1,0,0,21,0,0,2,0,105,24,28,0,0,8,0,3,46,10,0,1,18,0,0,0,2,9,0,0,0,0,7,0,1,1,0,27
akali,0,0,12,0,0,0,0,2,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,3,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
alistar,0,64,0,1629,2,13,0,95,8,121,0,0,0,0,56,15,83,32,239,9,11,11,6,88,259,50,194,1,84,29,25,103,0,178,268,122,70,0,2,34,4,1,85,29,38,77,26,0,227,28,4,43,0,3,4,21,29,86,6,64,118,93,0,98,239,123,15,29,30,198,2,13,1,3,13,1,1,86,0,139,3,25,27,98,3,1,107,0,22,0,12,264,32,15,16,136,67,85,1,88,10,0,5,239,2,0,0,10,0,51,25,51,1,0,0,2,136,76,0,50,12,6,21,91,50,2,4,2,181,56,0,3,38,4,2,24,0,34,37,12,23,5,0
amumu,0,0,0,2,7,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
anivia,0,0,0,13,0,131,0,17,0,0,13,0,3,27,10,1,0,3,0,2,0,0,0,11,22,1,21,0,9,4,0,3,0,10,21,14,3,0,0,10,1,2,3,4,0,9,3,0,8,15,0,0,0,1,2,2,5,7,0,5,0,7,0,3,11,4,0,2,1,12,0,4,0,0,4,7,0,3,0,14,0,0,3,0,0,1,11,0,0,3,2,29,2,0,0,3,0,2,1,16,0,1,0,21,0,0,4,1,0,0,6,0,0,5,0,7,5,17,0,0,3,0,2,7,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,9
annie,0,38,0,0,0,0,282,1,1,24,0,0,0,0,10,0,17,4,55,4,4,2,2,8,7,12,16,1,1,13,2,1,0,44,36,34,19,0,0,12,0,1,38,0,7,0,12,0,47,0,2,18,1,0,0,4,2,0,0,4,24,35,0,21,16,22,0,0,0,69,1,0,0,0,4,0,0,5,0,17,4,11,9,15,0,0,1,0,0,0,0,71,8,13,1,42,5,9,0,10,1,0,12,82,0,0,0,0,0,3,0,0,1,0,0,0,2,1,0,11,1,0,4,9,5,0,0,12,26,6,0,0,0,12,0,4,2,3,14,0,0,0,0
ashe,0,66,2,95,2,17,1,1572,14,54,63,10,8,182,0,43,116,14,68,4,3,2,1,100,231,12,0,0,58,31,51,46,0,122,249,156,34,0,8,50,28,10,67,16,60,0,0,0,0,257,2,35,15,1,5,56,201,27,29,5,79,208,7,23,17,125,2,4,109,143,0,55,0,0,22,83,0,145,0,63,7,0,45,170,0,2,68,0,1,19,2,224,88,107,6,121,101,14,1,180,2,7,7,0,2,6,15,18,0,148,121,105,15,35,2,141,0,99,0,32,0,0,1,22,0,3,6,0,138,96,1,4,0,1,0,6,3,24,23,6,24,0,207
aurelionsol,0,0,0,8,0,0,1,14,84,0,6,1,0,10,15,2,0,2,0,0,0,0,0,8,11,0,12,0,4,1,1,1,0,6,11,5,0,0,0,1,1,0,10,4,6,12,0,0,4,11,0,0,0,0,0,3,5,5,2,3,0,21,0,0,2,2,0,0,0,11,0,3,0,0,1,6,0,3,0,3,0,0,4,0,0,0,5,0,0,2,0,7,2,6,0,3,0,2,0,10,0,0,1,8,0,0,2,1,0,0,5,0,0,1,0,11,3,4,0,0,2,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11
azir,0,1,0,121,0,0,24,54,0,899,64,6,3,170,51,5,0,6,60,7,0,3,4,61,129,21,120,0,17,24,1,30,1,107,150,65,42,0,5,42,5,61,38,13,6,56,24,0,83,84,0,1,0,0,1,3,20,67,1,30,0,45,15,6,129,11,0,1,4,136,0,7,0,1,38,39,1,71,0,66,1,23,23,1,25,2,72,0,0,3,6,170,8,12,4,42,12,32,0,70,8,0,10,153,4,0,18,15,0,0,37,2,0,12,0,100,47,97,0,0,4,1,7,34,23,2,0,4,0,12,0,0,4,1,1,2,0,17,1,1,1,0,15
bard,0,18,0,0,0,13,0,63,6,64,668,1,1,0,77,0,37,9,65,0,0,3,4,58,107,2,88,1,29,21,9,26,2,62,126,71,17,1,2,31,5,0,21,12,12,74,2,0,43,27,0,13,0,0,2,10,13,51,7,3,45,34,0,32,113,22,12,10,12,54,0,3,0,0,2,0,0,28,0,49,1,8,22,26,0,2,46,0,9,0,6,150,15,7,1,20,32,10,0,65,1,2,2,104,0,0,0,15,0,26,6,25,2,0,0,0,16,77,0,26,0,4,2,38,5,0,1,0,76,39,0,2,12,2,0,3,0,8,8,6,19,0,0
